,text,intent,intent_ovr
0,yes,yesNode,convo
1,oh yeah,yesNode,convo
2,alright,yesNode,convo
3,absolutely,yesNode,convo
4,oh absolutely,yesNode,convo
5,definitely,yesNode,convo
6,yes i am,yesNode,convo
7,oh sure i am,yesNode,convo
8,oh all right i am,yesNode,convo
9,oh absolutely i am,yesNode,convo
10,oh definitely i am,yesNode,convo
11,yes i do,yesNode,convo
12,oh yeah i do,yesNode,convo
13,sure i do,yesNode,convo
14,alright i do,yesNode,convo
15,oh all right i do,yesNode,convo
16,oh definitely i do,yesNode,convo
17,yea i have,yesNode,convo
18,oh sure i have,yesNode,convo
19,oh yes i will,yesNode,convo
20,oh sure i will,yesNode,convo
21,oh all right i will,yesNode,convo
22,absolutely i will,yesNode,convo
23,oh definitely i will,yesNode,convo
24,yea i would,yesNode,convo
25,yeah i would,yesNode,convo
26,sure i would,yesNode,convo
27,oh absolutely i would,yesNode,convo
28,oh yes i did,yesNode,convo
29,oh yea i did,yesNode,convo
30,sure i did,yesNode,convo
31,oh sure i did,yesNode,convo
32,oh alright i did,yesNode,convo
33,absolutely i did,yesNode,convo
34,yes i had,yesNode,convo
35,oh yes i had,yesNode,convo
36,oh yea i had,yesNode,convo
37,sure i had,yesNode,convo
38,alright i had,yesNode,convo
39,absolutely i had,yesNode,convo
40,yeah indeed,yesNode,convo
41,sure indeed,yesNode,convo
42,oh sure indeed,yesNode,convo
43,yeah absolutely,yesNode,convo
44,all right absolutely,yesNode,convo
45,yeah definitely,yesNode,convo
46,oh alright definitely,yesNode,convo
47,absolutely definitely,yesNode,convo
48,yeah i think,yesNode,convo
49,alright i think,yesNode,convo
50,oh definitely i think,yesNode,convo
51,of course i will,yesNode,convo
52,of course i did,yesNode,convo
53,i think i do,yesNode,convo
54,i think i will,yesNode,convo
55,i think i did,yesNode,convo
56,i think i would,yesNode,convo
57,definitely agree,yesNode,convo
58,probably yes,yesNode,convo
59,probably yea,yesNode,convo
60,okey,yesNode,convo
61,ok,yesNode,convo
62,o. k.,yesNode,convo
63,that sounds like a good idea,yesNode,convo
64,it sounds like a good idea,yesNode,convo
65,it sounds good to me,yesNode,convo
66,it sounds like a good idea to me,yesNode,convo
67,i do,yesNode,convo
68,i will,yesNode,convo
69,yep,yesNode,convo
70,yup,yesNode,convo
71,i can't see why not,yesNode,convo
72,can't wait,yesNode,convo
73,yes please,yesNode,convo
74,true,yesNode,convo
75,oh yes kind of,yesNode,convo
76,oh yea kind of,yesNode,convo
77,kind of,yesNode,convo
78,yes sort of,yesNode,convo
79,oh yes sort of,yesNode,convo
80,yeah sort of,yesNode,convo
81,oh yeah sort of,yesNode,convo
82,very much,yesNode,convo
83,yes i guess so,yesNode,convo
84,yea i guess so,yesNode,convo
85,i guess so,yesNode,convo
86,yea exactly,yesNode,convo
87,oh yeah probably,yesNode,convo
88,yea quite,yesNode,convo
89,quite a lot,yesNode,convo
90,oh yea i am sometimes,yesNode,convo
91,yes i do sometimes,yesNode,convo
92,oh yes i do sometimes,yesNode,convo
93,oh  i do sometimes,yesNode,convo
94,yeah i have sometimes,yesNode,convo
95,oh  i have sometimes,yesNode,convo
96,oh yes i would sometimes,yesNode,convo
97,oh yea i would sometimes,yesNode,convo
98,oh yeah i would sometimes,yesNode,convo
99,yea i will sometimes,yesNode,convo
100,oh yea i will sometimes,yesNode,convo
101,yeah i will sometimes,yesNode,convo
102,oh yea i did sometimes,yesNode,convo
103,yeah i did sometimes,yesNode,convo
104,oh yea i had sometimes,yesNode,convo
105,oh yeah  from time to time,yesNode,convo
106,yes i am from time to time,yesNode,convo
107,i am from time to time,yesNode,convo
108,oh yes i do from time to time,yesNode,convo
109,oh yea i do from time to time,yesNode,convo
110,yeah i do from time to time,yesNode,convo
111,oh yes i have from time to time,yesNode,convo
112,yea i have from time to time,yesNode,convo
113,yeah i would from time to time,yesNode,convo
114,oh yeah i would from time to time,yesNode,convo
115,i would from time to time,yesNode,convo
116,oh  i would from time to time,yesNode,convo
117,oh yes i will from time to time,yesNode,convo
118,yeah i will from time to time,yesNode,convo
119,i will from time to time,yesNode,convo
120,yes i did from time to time,yesNode,convo
121,oh  i did from time to time,yesNode,convo
122,oh yea i am on some occasions,yesNode,convo
123,yea i do on some occasions,yesNode,convo
124,oh yea i do on some occasions,yesNode,convo
125,oh yeah i do on some occasions,yesNode,convo
126,yes i have on some occasions,yesNode,convo
127,yea i have on some occasions,yesNode,convo
128,yeah i have on some occasions,yesNode,convo
129,oh yes i would on some occasions,yesNode,convo
130,oh yeah i would on some occasions,yesNode,convo
131,yea i did on some occasions,yesNode,convo
132,oh yeah i did on some occasions,yesNode,convo
133,go ahead,yesNode,convo
134,go for it,yesNode,convo
135,who isn't,yesNode,convo
136,i would really love that,yesNode,convo
137,that would be great,yesNode,convo
138,that would be lovely,yesNode,convo
139,that would be nice,yesNode,convo
140,go on,yesNode,convo
141,no,noNode,convo
142,oh nah i'm not,noNode,convo
143,oh nope i am not,noNode,convo
144,no i don't,noNode,convo
145,oh no i don't,noNode,convo
146,nope i do not,noNode,convo
147,nah i do not,noNode,convo
148,oh no i haven't,noNode,convo
149,nah i haven't,noNode,convo
150,oh nope i wouldn't,noNode,convo
151,oh no i would not,noNode,convo
152,oh nope i would not,noNode,convo
153,oh nah i would not,noNode,convo
154,oh no i didn't,noNode,convo
155,oh nope i didn't,noNode,convo
156,nope i did not,noNode,convo
157,oh nope i did not,noNode,convo
158,nah i did not,noNode,convo
159,oh nah i did not,noNode,convo
160,oh no i hadn't,noNode,convo
161,oh no i had not,noNode,convo
162,oh nope i had not,noNode,convo
163,nope i guess,noNode,convo
164,nah i guess,noNode,convo
165,oh nope i think,noNode,convo
166,oh no,noNode,convo
167,nope,noNode,convo
168,oh nah,noNode,convo
169,not,noNode,convo
170,not really,noNode,convo
171,absolutely not,noNode,convo
172,false,noNode,convo
173,negative,noNode,convo
174,please don't continue,noNode,convo
175,don't continue,noNode,convo
176,i have no idea,noNode,convo
177,probably not,noNode,convo
178,i think i do not,noNode,convo
179,i don't think i will,noNode,convo
180,i don't think i had,noNode,convo
181,i have not,noNode,convo
182,i wouldn't,noNode,convo
183,i won't,noNode,convo
184,i did not,noNode,convo
185,that's totally not okay,noNode,convo
186,that's definitely not okay,noNode,convo
187,that's absolutely not ok,noNode,convo
188,that's  not ok,noNode,convo
189,that's definitely not o.k.,noNode,convo
190,i don't  want to,noNode,convo
191,i don't really want to,noNode,convo
192,not exactly,noNode,convo
193,that's o.k. alexa,noNode,convo
194,might,maybeNode,convo
195,i don't really know,maybeNode,convo
196,don't  know,maybeNode,convo
197,not  sure,maybeNode,convo
198,i do not remember,maybeNode,convo
199,do not remember,maybeNode,convo
200,don't remember,maybeNode,convo
201,i don't  care,maybeNode,convo
202,that doesn't really matter,maybeNode,convo
203,doesn't really matter,maybeNode,convo
204,it's the same for me,maybeNode,convo
205,quit,stop,convo
206,close,stop,convo
207,i want to close,stop,convo
208,turn  off,stop,convo
209,leave me be,stop,convo
210,i've had enough of this,stop,convo
211,bye,stop,convo
212,farewell,stop,convo
213,could you repeat that,Repeat,convo
214,can you repeat it,Repeat,convo
215,come again,Repeat,convo
216,i didn't get that,Repeat,convo
217,i don't understand,Repeat,convo
218,what did you say,Repeat,convo
219,i want to start  more games,playOtherGame,convo
220,let's start  more games,playOtherGame,convo
221,play some more games,playOtherGame,convo
222,start a few more games,playOtherGame,convo
223,i want to play  other games,playOtherGame,convo
224,play  other games,playOtherGame,convo
225,open some other games,playOtherGame,convo
226,let's start a few other games,playOtherGame,convo
227,start a few other games,playOtherGame,convo
228,i want to play another  game,playOtherGame,convo
229,play another  game,playOtherGame,convo
230,i want to open another  game,playOtherGame,convo
231,let's open another  game,playOtherGame,convo
232,i want to play a different  game,playOtherGame,convo
233,let's play a different  game,playOtherGame,convo
234,let's play one more  game,playOtherGame,convo
235,i want to play another memory game,playOtherGame,convo
236,let's open another memory game,playOtherGame,convo
237,i want to start another memory game,playOtherGame,convo
238,i want to play a different memory game,playOtherGame,convo
239,let's start a different memory game,playOtherGame,convo
240,i want to play one more memory game,playOtherGame,convo
241,let's play one more memory game,playOtherGame,convo
242,play one more memory game,playOtherGame,convo
243,i want to open one more memory game,playOtherGame,convo
244,start one more memory game,playOtherGame,convo
245,i don't want to turn you off just yet,playOtherGame,convo
246,please don't turn off  yet,playOtherGame,convo
247,i hate this game,playOtherGame,convo
248,this game  sucks,playOtherGame,convo
249,stop this game,playOtherGame,convo
250,shut up,totalStop,convo
251,wait a minute,wait,convo
252,wait a second please,wait,convo
253,pause,wait,convo
254,what  game can i play,listOfGames,convo
255,what else can i play,listOfGames,convo
256,what can i play,listOfGames,convo
257,what other game can we play,listOfGames,convo
258,what  games can you play,listOfGames,convo
259,which other game can you play,listOfGames,convo
260,what other game can you play,listOfGames,convo
261,what can you play,listOfGames,convo
262,which other games do you know,listOfGames,convo
263,which other game do you know,listOfGames,convo
264,what do you know,listOfGames,convo
265,what  games is available,listOfGames,convo
266,which other games is available,listOfGames,convo
267,which  game is available,listOfGames,convo
268,what other game is available,listOfGames,convo
269,what other game are available,listOfGames,convo
270,how many  games have i played,gamesCounter,convo
271,how many  games have we played so far,gamesCounter,convo
272,how many  games have i played in this session,gamesCounter,convo
273,could you speak louder,volumeUp,convo
274,can you speak louder,volumeUp,convo
275,will you speak louder,volumeUp,convo
276,you speak louder,volumeUp,convo
277,can  speak louder,volumeUp,convo
278,you talk louder,volumeUp,convo
279,can you speak more loud,volumeUp,convo
280,will you speak more loud,volumeUp,convo
281,will  speak more loud,volumeUp,convo
282,will you talk more loud,volumeUp,convo
283,you talk more loud,volumeUp,convo
284,would you speak higher,volumeUp,convo
285,you speak higher,volumeUp,convo
286,could  speak higher,volumeUp,convo
287,would  speak higher,volumeUp,convo
288,could you talk higher,volumeUp,convo
289,will  talk higher,volumeUp,convo
290,i can't hear you,volumeUp,convo
291,you are speaking too quiet,volumeUp,convo
292,you speak quiet,volumeDown,convo
293,will  speak quiet,volumeDown,convo
294,would you talk quiet,volumeDown,convo
295,could  talk quiet,volumeDown,convo
296,would  talk quiet,volumeDown,convo
297,will  speak more quiet,volumeDown,convo
298,would  speak more quiet,volumeDown,convo
299,will you talk more quiet,volumeDown,convo
300,you talk more quiet,volumeDown,convo
301,would  talk more quiet,volumeDown,convo
302,could you speak less loud,volumeDown,convo
303,would you speak less loud,volumeDown,convo
304,could you talk less loud,volumeDown,convo
305,would you talk less loud,volumeDown,convo
306,you talk less loud,volumeDown,convo
307,would you speak quieter,volumeDown,convo
308,can  speak quieter,volumeDown,convo
309,would  speak quieter,volumeDown,convo
310,could you talk quieter,volumeDown,convo
311,will  talk quieter,volumeDown,convo
312,will you speak silently,volumeDown,convo
313,could  speak silently,volumeDown,convo
314,can  speak silently,volumeDown,convo
315,speak silently,volumeDown,convo
316,would you talk silently,volumeDown,convo
317,will  talk silently,volumeDown,convo
318,will you speak down,volumeDown,convo
319,you talk down,volumeDown,convo
320,will  talk down,volumeDown,convo
321,would  talk down,volumeDown,convo
322,talk down,volumeDown,convo
323,how many times have i opened you already,timesPlayed,convo
324,how many times have we chatted so far,timesPlayed,convo
325,how many times have i launched you so far,timesPlayed,convo
326,how many times have i started you so far,timesPlayed,convo
327,how many times have i talked to you so far,timesPlayed,convo
328,are you  there,stillThere,convo
329,did you turn off,stillThere,convo
330,yes,yesNode,convo
331,yea,yesNode,convo
332,ok,yesNode,convo
333,oh yes,yesNode,convo
334,yea,yesNode,convo
335,oh yea,yesNode,convo
336,yeah,yesNode,convo
337,sure,yesNode,convo
338,oh sure,yesNode,convo
339,oh alright,yesNode,convo
340,all right,yesNode,convo
341,oh all right,yesNode,convo
342,oh definitely,yesNode,convo
343,oh yes i am,yesNode,convo
344,yea i am,yesNode,convo
345,oh yea i am,yesNode,convo
346,yeah i am,yesNode,convo
347,oh yeah i am,yesNode,convo
348,sure i am,yesNode,convo
349,alright i am,yesNode,convo
350,oh alright i am,yesNode,convo
351,all right i am,yesNode,convo
352,absolutely i am,yesNode,convo
353,definitely i am,yesNode,convo
354,oh yes i do,yesNode,convo
355,yea i do,yesNode,convo
356,oh yea i do,yesNode,convo
357,yeah i do,yesNode,convo
358,oh sure i do,yesNode,convo
359,oh alright i do,yesNode,convo
360,all right i do,yesNode,convo
361,absolutely i do,yesNode,convo
362,oh absolutely i do,yesNode,convo
363,definitely i do,yesNode,convo
364,yes i have,yesNode,convo
365,oh yes i have,yesNode,convo
366,oh yea i have,yesNode,convo
367,yeah i have,yesNode,convo
368,oh yeah i have,yesNode,convo
369,sure i have,yesNode,convo
370,alright i have,yesNode,convo
371,oh alright i have,yesNode,convo
372,all right i have,yesNode,convo
373,oh all right i have,yesNode,convo
374,absolutely i have,yesNode,convo
375,oh absolutely i have,yesNode,convo
376,definitely i have,yesNode,convo
377,oh definitely i have,yesNode,convo
378,yes i will,yesNode,convo
379,yea i will,yesNode,convo
380,oh yea i will,yesNode,convo
381,yeah i will,yesNode,convo
382,oh yeah i will,yesNode,convo
383,sure i will,yesNode,convo
384,alright i will,yesNode,convo
385,oh alright i will,yesNode,convo
386,all right i will,yesNode,convo
387,oh absolutely i will,yesNode,convo
388,definitely i will,yesNode,convo
389,yes i would,yesNode,convo
390,oh yes i would,yesNode,convo
391,oh yea i would,yesNode,convo
392,oh yeah i would,yesNode,convo
393,oh sure i would,yesNode,convo
394,alright i would,yesNode,convo
395,oh alright i would,yesNode,convo
396,all right i would,yesNode,convo
397,oh all right i would,yesNode,convo
398,absolutely i would,yesNode,convo
399,definitely i would,yesNode,convo
400,oh definitely i would,yesNode,convo
401,yes i did,yesNode,convo
402,yea i did,yesNode,convo
403,yeah i did,yesNode,convo
404,oh yeah i did,yesNode,convo
405,alright i did,yesNode,convo
406,all right i did,yesNode,convo
407,oh all right i did,yesNode,convo
408,oh absolutely i did,yesNode,convo
409,definitely i did,yesNode,convo
410,oh definitely i did,yesNode,convo
411,yea i had,yesNode,convo
412,yeah i had,yesNode,convo
413,oh yeah i had,yesNode,convo
414,oh sure i had,yesNode,convo
415,oh alright i had,yesNode,convo
416,all right i had,yesNode,convo
417,oh all right i had,yesNode,convo
418,oh absolutely i had,yesNode,convo
419,definitely i had,yesNode,convo
420,oh definitely i had,yesNode,convo
421,yes indeed,yesNode,convo
422,oh yes indeed,yesNode,convo
423,yea indeed,yesNode,convo
424,oh yea indeed,yesNode,convo
425,oh yeah indeed,yesNode,convo
426,alright indeed,yesNode,convo
427,oh alright indeed,yesNode,convo
428,all right indeed,yesNode,convo
429,oh all right indeed,yesNode,convo
430,absolutely indeed,yesNode,convo
431,oh absolutely indeed,yesNode,convo
432,definitely indeed,yesNode,convo
433,oh definitely indeed,yesNode,convo
434,yes absolutely,yesNode,convo
435,oh yes absolutely,yesNode,convo
436,yea absolutely,yesNode,convo
437,oh yea absolutely,yesNode,convo
438,oh yeah absolutely,yesNode,convo
439,sure absolutely,yesNode,convo
440,oh sure absolutely,yesNode,convo
441,alright absolutely,yesNode,convo
442,oh alright absolutely,yesNode,convo
443,oh all right absolutely,yesNode,convo
444,absolutely absolutely,yesNode,convo
445,oh absolutely absolutely,yesNode,convo
446,definitely absolutely,yesNode,convo
447,oh definitely absolutely,yesNode,convo
448,yes definitely,yesNode,convo
449,oh yes definitely,yesNode,convo
450,yea definitely,yesNode,convo
451,oh yea definitely,yesNode,convo
452,oh yeah definitely,yesNode,convo
453,sure definitely,yesNode,convo
454,oh sure definitely,yesNode,convo
455,alright definitely,yesNode,convo
456,all right definitely,yesNode,convo
457,oh all right definitely,yesNode,convo
458,oh absolutely definitely,yesNode,convo
459,definitely definitely,yesNode,convo
460,oh definitely definitely,yesNode,convo
461,yes i think,yesNode,convo
462,oh yes i think,yesNode,convo
463,yea i think,yesNode,convo
464,oh yea i think,yesNode,convo
465,oh yeah i think,yesNode,convo
466,sure i think,yesNode,convo
467,oh sure i think,yesNode,convo
468,oh alright i think,yesNode,convo
469,all right i think,yesNode,convo
470,oh all right i think,yesNode,convo
471,absolutely i think,yesNode,convo
472,oh absolutely i think,yesNode,convo
473,definitely i think,yesNode,convo
474,of course,yesNode,convo
475,of course i am,yesNode,convo
476,of course i do,yesNode,convo
477,of course i have,yesNode,convo
478,of course i had,yesNode,convo
479,of course i would,yesNode,convo
480,i think so,yesNode,convo
481,i think i am,yesNode,convo
482,i think i have,yesNode,convo
483,i think i had,yesNode,convo
484,i  agree,yesNode,convo
485,agree,yesNode,convo
486,i totally agree,yesNode,convo
487,totally agree,yesNode,convo
488,i absolutely agree,yesNode,convo
489,absolutely agree,yesNode,convo
490,i definitely agree,yesNode,convo
491,positive,yesNode,convo
492,agreed,yesNode,convo
493,probably yeah,yesNode,convo
494,ok,yesNode,convo
495,okay,yesNode,convo
496,sounds good,yesNode,convo
497,that sounds good,yesNode,convo
498,it sounds good,yesNode,convo
499,sounds like a good idea,yesNode,convo
500,sounds good to me,yesNode,convo
501,that sounds good to me,yesNode,convo
502,sounds like a good idea to me,yesNode,convo
503,that sounds like a good idea to me,yesNode,convo
504,that's a good idea,yesNode,convo
505,that's a great idea,yesNode,convo
506,i am,yesNode,convo
507,i have,yesNode,convo
508,i would,yesNode,convo
509,i did,yesNode,convo
510,i had,yesNode,convo
511,indeed,yesNode,convo
512,why not,yesNode,convo
513,i can't wait,yesNode,convo
514,please,yesNode,convo
515,yes please do,yesNode,convo
516,please do,yesNode,convo
517,yes please do it,yesNode,convo
518,please do it,yesNode,convo
519,let's go,yesNode,convo
520,let's go for it,yesNode,convo
521,for sure,yesNode,convo
522,that's true,yesNode,convo
523,right,yesNode,convo
524,that's right,yesNode,convo
525,correct,yesNode,convo
526,that's correct,yesNode,convo
527,let's try,yesNode,convo
528,let's try it,yesNode,convo
529,let's do it,yesNode,convo
530,let's do that,yesNode,convo
531,yes kind of,yesNode,convo
532,yea kind of,yesNode,convo
533,yeah kind of,yesNode,convo
534,oh yeah kind of,yesNode,convo
535,oh  kind of,yesNode,convo
536,yes kinda,yesNode,convo
537,oh yes kinda,yesNode,convo
538,yea kinda,yesNode,convo
539,oh yea kinda,yesNode,convo
540,yeah kinda,yesNode,convo
541,oh yeah kinda,yesNode,convo
542,kinda,yesNode,convo
543,oh  kinda,yesNode,convo
544,yea sort of,yesNode,convo
545,oh yea sort of,yesNode,convo
546,sort of,yesNode,convo
547,oh  sort of,yesNode,convo
548,yes very much,yesNode,convo
549,oh yes very much,yesNode,convo
550,yea very much,yesNode,convo
551,oh yea very much,yesNode,convo
552,yeah very much,yesNode,convo
553,oh yeah very much,yesNode,convo
554,oh  very much,yesNode,convo
555,yes i guess,yesNode,convo
556,oh yes i guess,yesNode,convo
557,yea i guess,yesNode,convo
558,oh yea i guess,yesNode,convo
559,yeah i guess,yesNode,convo
560,oh yeah i guess,yesNode,convo
561,i guess,yesNode,convo
562,oh  i guess,yesNode,convo
563,oh yes i guess so,yesNode,convo
564,oh yea i guess so,yesNode,convo
565,yeah i guess so,yesNode,convo
566,oh yeah i guess so,yesNode,convo
567,oh  i guess so,yesNode,convo
568,yes exactly,yesNode,convo
569,oh yes exactly,yesNode,convo
570,oh yea exactly,yesNode,convo
571,yeah exactly,yesNode,convo
572,oh yeah exactly,yesNode,convo
573,exactly,yesNode,convo
574,oh  exactly,yesNode,convo
575,yes probably,yesNode,convo
576,oh yes probably,yesNode,convo
577,yea probably,yesNode,convo
578,oh yea probably,yesNode,convo
579,yeah probably,yesNode,convo
580,probably,yesNode,convo
581,oh  probably,yesNode,convo
582,yes quite,yesNode,convo
583,oh yes quite,yesNode,convo
584,oh yea quite,yesNode,convo
585,yeah quite,yesNode,convo
586,oh yeah quite,yesNode,convo
587,quite,yesNode,convo
588,oh  quite,yesNode,convo
589,yes quite a lot,yesNode,convo
590,oh yes quite a lot,yesNode,convo
591,yea quite a lot,yesNode,convo
592,oh yea quite a lot,yesNode,convo
593,yeah quite a lot,yesNode,convo
594,oh yeah quite a lot,yesNode,convo
595,oh  quite a lot,yesNode,convo
596,yes  sometimes,yesNode,convo
597,oh yes  sometimes,yesNode,convo
598,yea  sometimes,yesNode,convo
599,oh yea  sometimes,yesNode,convo
600,yeah  sometimes,yesNode,convo
601,oh yeah  sometimes,yesNode,convo
602,sometimes,yesNode,convo
603,oh   sometimes,yesNode,convo
604,yes i am sometimes,yesNode,convo
605,oh yes i am sometimes,yesNode,convo
606,yea i am sometimes,yesNode,convo
607,yeah i am sometimes,yesNode,convo
608,oh yeah i am sometimes,yesNode,convo
609,i am sometimes,yesNode,convo
610,oh  i am sometimes,yesNode,convo
611,yea i do sometimes,yesNode,convo
612,oh yea i do sometimes,yesNode,convo
613,yeah i do sometimes,yesNode,convo
614,oh yeah i do sometimes,yesNode,convo
615,i do sometimes,yesNode,convo
616,yes i have sometimes,yesNode,convo
617,oh yes i have sometimes,yesNode,convo
618,yea i have sometimes,yesNode,convo
619,oh yea i have sometimes,yesNode,convo
620,oh yeah i have sometimes,yesNode,convo
621,i have sometimes,yesNode,convo
622,yes i would sometimes,yesNode,convo
623,yea i would sometimes,yesNode,convo
624,yeah i would sometimes,yesNode,convo
625,i would sometimes,yesNode,convo
626,oh  i would sometimes,yesNode,convo
627,yes i will sometimes,yesNode,convo
628,oh yes i will sometimes,yesNode,convo
629,oh yeah i will sometimes,yesNode,convo
630,i will sometimes,yesNode,convo
631,oh  i will sometimes,yesNode,convo
632,yes i did sometimes,yesNode,convo
633,oh yes i did sometimes,yesNode,convo
634,yea i did sometimes,yesNode,convo
635,oh yeah i did sometimes,yesNode,convo
636,i did sometimes,yesNode,convo
637,oh  i did sometimes,yesNode,convo
638,yes i had sometimes,yesNode,convo
639,oh yes i had sometimes,yesNode,convo
640,yea i had sometimes,yesNode,convo
641,yeah i had sometimes,yesNode,convo
642,oh yeah i had sometimes,yesNode,convo
643,i had sometimes,yesNode,convo
644,oh  i had sometimes,yesNode,convo
645,yes  from time to time,yesNode,convo
646,oh yes  from time to time,yesNode,convo
647,yea  from time to time,yesNode,convo
648,oh yea  from time to time,yesNode,convo
649,yeah  from time to time,yesNode,convo
650,from time to time,yesNode,convo
651,oh   from time to time,yesNode,convo
652,oh yes i am from time to time,yesNode,convo
653,yea i am from time to time,yesNode,convo
654,oh yea i am from time to time,yesNode,convo
655,yeah i am from time to time,yesNode,convo
656,oh yeah i am from time to time,yesNode,convo
657,oh  i am from time to time,yesNode,convo
658,yes i do from time to time,yesNode,convo
659,yea i do from time to time,yesNode,convo
660,oh yeah i do from time to time,yesNode,convo
661,i do from time to time,yesNode,convo
662,oh  i do from time to time,yesNode,convo
663,yes i have from time to time,yesNode,convo
664,oh yea i have from time to time,yesNode,convo
665,yeah i have from time to time,yesNode,convo
666,oh yeah i have from time to time,yesNode,convo
667,i have from time to time,yesNode,convo
668,oh  i have from time to time,yesNode,convo
669,yes i would from time to time,yesNode,convo
670,oh yes i would from time to time,yesNode,convo
671,yea i would from time to time,yesNode,convo
672,oh yea i would from time to time,yesNode,convo
673,yes i will from time to time,yesNode,convo
674,yea i will from time to time,yesNode,convo
675,oh yea i will from time to time,yesNode,convo
676,oh yeah i will from time to time,yesNode,convo
677,oh  i will from time to time,yesNode,convo
678,oh yes i did from time to time,yesNode,convo
679,yea i did from time to time,yesNode,convo
680,oh yea i did from time to time,yesNode,convo
681,yeah i did from time to time,yesNode,convo
682,oh yeah i did from time to time,yesNode,convo
683,i did from time to time,yesNode,convo
684,yes i had from time to time,yesNode,convo
685,oh yes i had from time to time,yesNode,convo
686,yea i had from time to time,yesNode,convo
687,oh yea i had from time to time,yesNode,convo
688,yeah i had from time to time,yesNode,convo
689,oh yeah i had from time to time,yesNode,convo
690,i had from time to time,yesNode,convo
691,oh  i had from time to time,yesNode,convo
692,yes  on some occasions,yesNode,convo
693,oh yes  on some occasions,yesNode,convo
694,yea  on some occasions,yesNode,convo
695,oh yea  on some occasions,yesNode,convo
696,yeah  on some occasions,yesNode,convo
697,oh yeah  on some occasions,yesNode,convo
698,on some occasions,yesNode,convo
699,oh   on some occasions,yesNode,convo
